experiment_type,plot_type,dataset,horizon,seed,metric,value
W1,forest_plot,ETTm1,192,7,delta_rmse,0.09456100590244709
W1,forest_plot,ETTm1,192,7,delta_rmse_pct,2.970257581422597
W1,forest_plot,ETTm1,192,7,cka_full_mean_per,0.9667489832275618
W1,forest_plot,ETTm1,192,7,cka_full_mean_last,0.9381806546617868
W1,forest_plot,ETTm1,192,7,delta_cka_global,0.02856832856577496
W1,forest_plot,ETTm1,192,7,grad_align_mean_per,-0.0026136915682229
W1,forest_plot,ETTm1,192,7,grad_align_mean_last,0.0054758404978417
W1,forest_plot,ETTm1,192,7,delta_grad_align_all,-0.0080895320660646
W1,forest_plot,ETTm1,192,11,rmse_per,3.071568821718031
W1,forest_plot,ETTm1,192,11,rmse_last,3.174344158770103
W1,forest_plot,ETTm1,192,11,delta_rmse,0.10277533705207187
W1,forest_plot,ETTm1,192,11,delta_rmse_pct,3.2376872800047014
W1,forest_plot,ETTm1,192,11,cka_full_mean_per,0.974554638526928
W1,forest_plot,ETTm1,192,11,cka_full_mean_last,0.9441503562181636
W1,forest_plot,ETTm1,192,11,delta_cka_global,0.030404282308764463
W1,forest_plot,ETTm1,192,11,grad_align_mean_per,0.0016669816468061
W1,forest_plot,ETTm1,192,11,grad_align_mean_last,-0.0012062471046351
W1,forest_plot,ETTm1,192,11,delta_grad_align_all,0.0028732287514412003
W1,forest_plot,ETTm1,192,13,rmse_per,3.0777136823159723
W1,forest_plot,ETTm1,192,13,rmse_last,3.1799544238777155
W1,forest_plot,ETTm1,192,13,delta_rmse,0.10224074156174323
W1,forest_plot,ETTm1,192,13,delta_rmse_pct,3.215163739267317
W1,forest_plot,ETTm1,192,13,cka_full_mean_per,0.9731587067874274
W1,forest_plot,ETTm1,192,13,cka_full_mean_last,0.9278595103779548
W1,forest_plot,ETTm1,192,13,delta_cka_global,0.045299196409472664
W1,forest_plot,ETTm1,192,13,grad_align_mean_per,0.0036767071022234
W1,forest_plot,ETTm1,192,13,grad_align_mean_last,0.0017662641609448
W1,forest_plot,ETTm1,192,13,delta_grad_align_all,0.0019104429412785998
W1,forest_plot,ETTm1,192,17,rmse_per,3.0800275006243125
W1,forest_plot,ETTm1,192,17,rmse_last,3.1566749513296504
W1,forest_plot,ETTm1,192,17,delta_rmse,0.07664745070533785
W1,forest_plot,ETTm1,192,17,delta_rmse_pct,2.428107166151286
W1,forest_plot,ETTm1,192,17,cka_full_mean_per,0.960964236918692
W1,forest_plot,ETTm1,192,17,cka_full_mean_last,0.956525881862531
W1,forest_plot,ETTm1,192,17,delta_cka_global,0.004438355056161081
W1,forest_plot,ETTm1,192,17,grad_align_mean_per,-0.0020468841624448
W1,forest_plot,ETTm1,192,17,grad_align_mean_last,-0.0001739536651059
W1,forest_plot,ETTm1,192,17,delta_grad_align_all,-0.0018729304973389
W1,forest_plot,ETTm1,192,19,rmse_per,3.071244969377446
W1,forest_plot,ETTm1,192,19,rmse_last,3.1542400343175845
W1,forest_plot,ETTm1,192,19,delta_rmse,0.08299506494013853
W1,forest_plot,ETTm1,192,19,delta_rmse_pct,2.6312222290366813
W1,forest_plot,ETTm1,192,19,cka_full_mean_per,0.9735509349533736
W1,forest_plot,ETTm1,192,19,cka_full_mean_last,0.92143361673434
W1,forest_plot,ETTm1,192,19,delta_cka_global,0.05211731821903365
W1,forest_plot,ETTm1,192,19,grad_align_mean_per,0.0050708177677434
W1,forest_plot,ETTm1,192,19,grad_align_mean_last,-0.003598527371711
W1,forest_plot,ETTm1,192,19,delta_grad_align_all,0.0086693451394544
W1,forest_plot,ETTm1,192,23,rmse_per,3.072189417413465
W1,forest_plot,ETTm1,192,23,rmse_last,3.178936693932158
W1,forest_plot,ETTm1,192,23,delta_rmse,0.1067472765186932
W1,forest_plot,ETTm1,192,23,delta_rmse_pct,3.357955404473723
W1,forest_plot,ETTm1,192,23,cka_full_mean_per,0.9769612452048804
W1,forest_plot,ETTm1,192,23,cka_full_mean_last,0.95909517401287
W1,forest_plot,ETTm1,192,23,delta_cka_global,0.017866071192010335
W1,forest_plot,ETTm1,192,23,grad_align_mean_per,0.0016153777042947
W1,forest_plot,ETTm1,192,23,grad_align_mean_last,0.000382147677373
W1,forest_plot,ETTm1,192,23,delta_grad_align_all,0.0012332300269217
