experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,ETTh2,grad_align_bar,192,2,per_layer,5,D,0.028191
W1,ETTh2,grad_align_bar,192,2,per_layer,6,D,-0.000388
W1,ETTh2,grad_align_bar,192,2,last_layer,0,S,0.000153
W1,ETTh2,grad_align_bar,192,2,last_layer,1,S,-6.3e-05
W1,ETTh2,grad_align_bar,192,2,last_layer,2,M,-0.001099
W1,ETTh2,grad_align_bar,192,2,last_layer,3,M,-0.00283
W1,ETTh2,grad_align_bar,192,2,last_layer,4,D,0.008403
W1,ETTh2,grad_align_bar,192,2,last_layer,5,D,-0.005775
W1,ETTh2,grad_align_bar,192,2,last_layer,6,D,-0.006231
W1,ETTh2,grad_align_bar,192,3,per_layer,0,S,-0.002826
W1,ETTh2,grad_align_bar,192,3,per_layer,1,S,0.010747
W1,ETTh2,grad_align_bar,192,3,per_layer,2,M,-0.02649
W1,ETTh2,grad_align_bar,192,3,per_layer,3,M,0.017261
W1,ETTh2,grad_align_bar,192,3,per_layer,4,D,0.001645
W1,ETTh2,grad_align_bar,192,3,per_layer,5,D,0.002073
W1,ETTh2,grad_align_bar,192,3,per_layer,6,D,-0.003974
W1,ETTh2,grad_align_bar,192,3,last_layer,0,S,-0.007329
W1,ETTh2,grad_align_bar,192,3,last_layer,1,S,0.003269
W1,ETTh2,grad_align_bar,192,3,last_layer,2,M,-0.003809
W1,ETTh2,grad_align_bar,192,3,last_layer,3,M,0.003795
W1,ETTh2,grad_align_bar,192,3,last_layer,4,D,0.000894
W1,ETTh2,grad_align_bar,192,3,last_layer,5,D,-0.009668
W1,ETTh2,grad_align_bar,192,3,last_layer,6,D,0.002456
W1,ETTh2,grad_align_bar,192,5,per_layer,0,S,0.006098
W1,ETTh2,grad_align_bar,192,5,per_layer,1,S,-0.04488
W1,ETTh2,grad_align_bar,192,5,per_layer,2,M,0.017651
W1,ETTh2,grad_align_bar,192,5,per_layer,3,M,-0.016353
W1,ETTh2,grad_align_bar,192,5,per_layer,4,D,-0.001958
W1,ETTh2,grad_align_bar,192,5,per_layer,5,D,-0.001766
W1,ETTh2,grad_align_bar,192,5,per_layer,6,D,0.01057
W1,ETTh2,grad_align_bar,192,5,last_layer,0,S,-0.008719
W1,ETTh2,grad_align_bar,192,5,last_layer,1,S,0.004182
W1,ETTh2,grad_align_bar,192,5,last_layer,2,M,-0.002314
W1,ETTh2,grad_align_bar,192,5,last_layer,3,M,0.012196
W1,ETTh2,grad_align_bar,192,5,last_layer,4,D,-0.009425
W1,ETTh2,grad_align_bar,192,5,last_layer,5,D,-0.002073
W1,ETTh2,grad_align_bar,192,5,last_layer,6,D,-0.014337
W1,ETTh2,grad_align_bar,192,7,per_layer,0,S,0.002435
W1,ETTh2,grad_align_bar,192,7,per_layer,1,S,0.003978
W1,ETTh2,grad_align_bar,192,7,per_layer,2,M,0.005713
W1,ETTh2,grad_align_bar,192,7,per_layer,3,M,-0.01243
W1,ETTh2,grad_align_bar,192,7,per_layer,4,D,0.009077
W1,ETTh2,grad_align_bar,192,7,per_layer,5,D,-0.003165
W1,ETTh2,grad_align_bar,192,7,per_layer,6,D,-0.00761
W1,ETTh2,grad_align_bar,192,7,last_layer,0,S,0.003932
W1,ETTh2,grad_align_bar,192,7,last_layer,1,S,-0.00729
W1,ETTh2,grad_align_bar,192,7,last_layer,2,M,0.012104
W1,ETTh2,grad_align_bar,192,7,last_layer,3,M,0.004749
W1,ETTh2,grad_align_bar,192,7,last_layer,4,D,-0.003662
W1,ETTh2,grad_align_bar,192,7,last_layer,5,D,0.025707
W1,ETTh2,grad_align_bar,192,7,last_layer,6,D,-0.002986
W1,ETTh2,grad_align_bar,192,11,per_layer,0,S,-0.001382
W1,ETTh2,grad_align_bar,192,11,per_layer,1,S,-0.001111
W1,ETTh2,grad_align_bar,192,11,per_layer,2,M,0.005888
W1,ETTh2,grad_align_bar,192,11,per_layer,3,M,0.008766
W1,ETTh2,grad_align_bar,192,11,per_layer,4,D,0.021151
W1,ETTh2,grad_align_bar,192,11,per_layer,5,D,-0.007082
W1,ETTh2,grad_align_bar,192,11,per_layer,6,D,0.011479
W1,ETTh2,grad_align_bar,192,11,last_layer,0,S,-0.000131
W1,ETTh2,grad_align_bar,192,11,last_layer,1,S,-0.001791
W1,ETTh2,grad_align_bar,192,11,last_layer,2,M,0.004459
W1,ETTh2,grad_align_bar,192,11,last_layer,3,M,0.013718
W1,ETTh2,grad_align_bar,192,11,last_layer,4,D,-0.004374
W1,ETTh2,grad_align_bar,192,11,last_layer,5,D,0.003059
W1,ETTh2,grad_align_bar,192,11,last_layer,6,D,0.003495
W1,ETTh2,grad_align_bar,192,13,per_layer,0,S,-0.012352
W1,ETTh2,grad_align_bar,192,13,per_layer,1,S,0.003484
W1,ETTh2,grad_align_bar,192,13,per_layer,2,M,0.013845
W1,ETTh2,grad_align_bar,192,13,per_layer,3,M,-0.017163
W1,ETTh2,grad_align_bar,192,13,per_layer,4,D,0.003689
W1,ETTh2,grad_align_bar,192,13,per_layer,5,D,0.011305
W1,ETTh2,grad_align_bar,192,13,per_layer,6,D,-0.00832
W1,ETTh2,grad_align_bar,192,13,last_layer,0,S,-0.004941
W1,ETTh2,grad_align_bar,192,13,last_layer,1,S,0.005401
W1,ETTh2,grad_align_bar,192,13,last_layer,2,M,0.005706
W1,ETTh2,grad_align_bar,192,13,last_layer,3,M,-0.017715
W1,ETTh2,grad_align_bar,192,13,last_layer,4,D,0.00107
W1,ETTh2,grad_align_bar,192,13,last_layer,5,D,-0.01502
W1,ETTh2,grad_align_bar,192,13,last_layer,6,D,-0.014916
W1,ETTh2,grad_align_bar,192,17,per_layer,0,S,0.004828
W1,ETTh2,grad_align_bar,192,17,per_layer,1,S,0.004225
W1,ETTh2,grad_align_bar,192,17,per_layer,2,M,-0.011357
W1,ETTh2,grad_align_bar,192,17,per_layer,3,M,0.00522
W1,ETTh2,grad_align_bar,192,17,per_layer,4,D,-0.002037
W1,ETTh2,grad_align_bar,192,17,per_layer,5,D,-0.012945
W1,ETTh2,grad_align_bar,192,17,per_layer,6,D,-0.001779
W1,ETTh2,grad_align_bar,192,17,last_layer,0,S,-0.000732
W1,ETTh2,grad_align_bar,192,17,last_layer,1,S,0.004013
W1,ETTh2,grad_align_bar,192,17,last_layer,2,M,-0.011899
W1,ETTh2,grad_align_bar,192,17,last_layer,3,M,0.002291
W1,ETTh2,grad_align_bar,192,17,last_layer,4,D,-0.010506
W1,ETTh2,grad_align_bar,192,17,last_layer,5,D,-0.008779
W1,ETTh2,grad_align_bar,192,17,last_layer,6,D,-0.001301
W1,ETTh2,grad_align_bar,192,19,per_layer,0,S,-0.009234
W1,ETTh2,grad_align_bar,192,19,per_layer,1,S,0.002094
W1,ETTh2,grad_align_bar,192,19,per_layer,2,M,-0.017585
W1,ETTh2,grad_align_bar,192,19,per_layer,3,M,-0.000451
W1,ETTh2,grad_align_bar,192,19,per_layer,4,D,0.030698
W1,ETTh2,grad_align_bar,192,19,per_layer,5,D,-0.000613
W1,ETTh2,grad_align_bar,192,19,per_layer,6,D,0.023704
W1,ETTh2,grad_align_bar,192,19,last_layer,0,S,0.00382
W1,ETTh2,grad_align_bar,192,19,last_layer,1,S,-0.004262
W1,ETTh2,grad_align_bar,192,19,last_layer,2,M,0.006438
W1,ETTh2,grad_align_bar,192,19,last_layer,3,M,-0.001756
W1,ETTh2,grad_align_bar,192,19,last_layer,4,D,-0.000469
W1,ETTh2,grad_align_bar,192,19,last_layer,5,D,-0.008412
W1,ETTh2,grad_align_bar,192,19,last_layer,6,D,-0.00095
W1,ETTh2,grad_align_bar,192,23,per_layer,0,S,0.002125
W1,ETTh2,grad_align_bar,192,23,per_layer,1,S,-0.010909
W1,ETTh2,grad_align_bar,192,23,per_layer,2,M,-0.002194
W1,ETTh2,grad_align_bar,192,23,per_layer,3,M,-0.015037
W1,ETTh2,grad_align_bar,192,23,per_layer,4,D,-0.00952
W1,ETTh2,grad_align_bar,192,23,per_layer,5,D,0.002713
W1,ETTh2,grad_align_bar,192,23,per_layer,6,D,0.011678
W1,ETTh2,grad_align_bar,192,23,last_layer,0,S,-0.008103
W1,ETTh2,grad_align_bar,192,23,last_layer,1,S,-0.003924
W1,ETTh2,grad_align_bar,192,23,last_layer,2,M,-0.003999
W1,ETTh2,grad_align_bar,192,23,last_layer,3,M,-0.002084
W1,ETTh2,grad_align_bar,192,23,last_layer,4,D,-0.010021
W1,ETTh2,grad_align_bar,192,23,last_layer,5,D,-0.011464
W1,ETTh2,grad_align_bar,192,23,last_layer,6,D,-0.022422
W1,ETTh2,grad_align_bar,336,42,per_layer,0,S,-0.022215
W1,ETTh2,grad_align_bar,336,42,per_layer,1,S,-0.003308
W1,ETTh2,grad_align_bar,336,42,per_layer,2,M,-0.010935
W1,ETTh2,grad_align_bar,336,42,per_layer,3,M,-0.00422
W1,ETTh2,grad_align_bar,336,42,per_layer,4,D,0.005855
W1,ETTh2,grad_align_bar,336,42,per_layer,5,D,0.01242
W1,ETTh2,grad_align_bar,336,42,per_layer,6,D,0.00496
W1,ETTh2,grad_align_bar,336,42,last_layer,0,S,0.007616
W1,ETTh2,grad_align_bar,336,42,last_layer,1,S,0.000147
W1,ETTh2,grad_align_bar,336,42,last_layer,2,M,0.002393
W1,ETTh2,grad_align_bar,336,42,last_layer,3,M,-0.007481
W1,ETTh2,grad_align_bar,336,42,last_layer,4,D,-0.0029
W1,ETTh2,grad_align_bar,336,42,last_layer,5,D,0.007417
W1,ETTh2,grad_align_bar,336,42,last_layer,6,D,0.003766
W1,ETTh2,grad_align_bar,336,2,per_layer,0,S,0.000168
W1,ETTh2,grad_align_bar,336,2,per_layer,1,S,-0.006936
W1,ETTh2,grad_align_bar,336,2,per_layer,2,M,0.023075
W1,ETTh2,grad_align_bar,336,2,per_layer,3,M,-0.007367
W1,ETTh2,grad_align_bar,336,2,per_layer,4,D,0.018483
W1,ETTh2,grad_align_bar,336,2,per_layer,5,D,-0.002546
W1,ETTh2,grad_align_bar,336,2,per_layer,6,D,-0.011642
W1,ETTh2,grad_align_bar,336,2,last_layer,0,S,-0.001396
W1,ETTh2,grad_align_bar,336,2,last_layer,1,S,-0.007576
W1,ETTh2,grad_align_bar,336,2,last_layer,2,M,0.010945
W1,ETTh2,grad_align_bar,336,2,last_layer,3,M,-0.000249
W1,ETTh2,grad_align_bar,336,2,last_layer,4,D,-0.016507
W1,ETTh2,grad_align_bar,336,2,last_layer,5,D,-0.001902
W1,ETTh2,grad_align_bar,336,2,last_layer,6,D,-0.009469
W1,ETTh2,grad_align_bar,336,3,per_layer,0,S,0.005935
W1,ETTh2,grad_align_bar,336,3,per_layer,1,S,0.002136
W1,ETTh2,grad_align_bar,336,3,per_layer,2,M,0.000736
W1,ETTh2,grad_align_bar,336,3,per_layer,3,M,0.007003
W1,ETTh2,grad_align_bar,336,3,per_layer,4,D,-0.003368
W1,ETTh2,grad_align_bar,336,3,per_layer,5,D,-0.000997
W1,ETTh2,grad_align_bar,336,3,per_layer,6,D,0.005079
W1,ETTh2,grad_align_bar,336,3,last_layer,0,S,0.010706
W1,ETTh2,grad_align_bar,336,3,last_layer,1,S,-0.011392
W1,ETTh2,grad_align_bar,336,3,last_layer,2,M,-0.003103
W1,ETTh2,grad_align_bar,336,3,last_layer,3,M,0.004512
W1,ETTh2,grad_align_bar,336,3,last_layer,4,D,-0.023128
W1,ETTh2,grad_align_bar,336,3,last_layer,5,D,-0.008378
W1,ETTh2,grad_align_bar,336,3,last_layer,6,D,0.020316
W1,ETTh2,grad_align_bar,336,5,per_layer,0,S,0.028733
W1,ETTh2,grad_align_bar,336,5,per_layer,1,S,0.000126
W1,ETTh2,grad_align_bar,336,5,per_layer,2,M,0.011167
W1,ETTh2,grad_align_bar,336,5,per_layer,3,M,0.002633
W1,ETTh2,grad_align_bar,336,5,per_layer,4,D,0.012144
W1,ETTh2,grad_align_bar,336,5,per_layer,5,D,-0.004958
W1,ETTh2,grad_align_bar,336,5,per_layer,6,D,0.015089
W1,ETTh2,grad_align_bar,336,5,last_layer,0,S,-0.000309
W1,ETTh2,grad_align_bar,336,5,last_layer,1,S,-0.003004
W1,ETTh2,grad_align_bar,336,5,last_layer,2,M,-0.018683
W1,ETTh2,grad_align_bar,336,5,last_layer,3,M,-0.00429
W1,ETTh2,grad_align_bar,336,5,last_layer,4,D,0.002159
W1,ETTh2,grad_align_bar,336,5,last_layer,5,D,-0.008628
W1,ETTh2,grad_align_bar,336,5,last_layer,6,D,0.035339
W1,ETTh2,grad_align_bar,336,7,per_layer,0,S,-0.003495
W1,ETTh2,grad_align_bar,336,7,per_layer,1,S,-0.00442
W1,ETTh2,grad_align_bar,336,7,per_layer,2,M,0.008637
W1,ETTh2,grad_align_bar,336,7,per_layer,3,M,0.00858
W1,ETTh2,grad_align_bar,336,7,per_layer,4,D,0.019254
W1,ETTh2,grad_align_bar,336,7,per_layer,5,D,-0.001655
W1,ETTh2,grad_align_bar,336,7,per_layer,6,D,-0.013265
W1,ETTh2,grad_align_bar,336,7,last_layer,0,S,0.000367
W1,ETTh2,grad_align_bar,336,7,last_layer,1,S,0.001301
W1,ETTh2,grad_align_bar,336,7,last_layer,2,M,-0.003417
W1,ETTh2,grad_align_bar,336,7,last_layer,3,M,0.002977
W1,ETTh2,grad_align_bar,336,7,last_layer,4,D,-0.002308
W1,ETTh2,grad_align_bar,336,7,last_layer,5,D,-0.006643
W1,ETTh2,grad_align_bar,336,7,last_layer,6,D,0.01798
W1,ETTh2,grad_align_bar,336,11,per_layer,0,S,0.00199
W1,ETTh2,grad_align_bar,336,11,per_layer,1,S,-0.012914
W1,ETTh2,grad_align_bar,336,11,per_layer,2,M,-0.026087
W1,ETTh2,grad_align_bar,336,11,per_layer,3,M,-0.027221
W1,ETTh2,grad_align_bar,336,11,per_layer,4,D,-0.014431
W1,ETTh2,grad_align_bar,336,11,per_layer,5,D,-0.017063
W1,ETTh2,grad_align_bar,336,11,per_layer,6,D,-0.001677
W1,ETTh2,grad_align_bar,336,11,last_layer,0,S,-0.003391
W1,ETTh2,grad_align_bar,336,11,last_layer,1,S,-0.013665
W1,ETTh2,grad_align_bar,336,11,last_layer,2,M,0.004013
