experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,ETTm1,cka_heatmap,96,2,last_layer,3,4,M,D,0.941314
W1,ETTm1,cka_heatmap,96,2,last_layer,3,5,M,D,0.945201
W1,ETTm1,cka_heatmap,96,2,last_layer,3,6,M,D,0.952996
W1,ETTm1,cka_heatmap,96,2,last_layer,4,4,D,D,0.937944
W1,ETTm1,cka_heatmap,96,2,last_layer,4,5,D,D,0.942087
W1,ETTm1,cka_heatmap,96,2,last_layer,4,6,D,D,0.950047
W1,ETTm1,cka_heatmap,96,2,last_layer,5,5,D,D,0.93875
W1,ETTm1,cka_heatmap,96,2,last_layer,5,6,D,D,0.947011
W1,ETTm1,cka_heatmap,96,2,last_layer,6,6,D,D,0.944133
W1,ETTm1,cka_heatmap,96,3,per_layer,0,0,S,S,0.992933
W1,ETTm1,cka_heatmap,96,3,per_layer,0,1,S,S,0.986035
W1,ETTm1,cka_heatmap,96,3,per_layer,0,2,S,M,0.986796
W1,ETTm1,cka_heatmap,96,3,per_layer,0,3,S,M,0.96809
W1,ETTm1,cka_heatmap,96,3,per_layer,0,4,S,D,0.945192
W1,ETTm1,cka_heatmap,96,3,per_layer,0,5,S,D,0.930926
W1,ETTm1,cka_heatmap,96,3,per_layer,0,6,S,D,0.862059
W1,ETTm1,cka_heatmap,96,3,per_layer,1,1,S,S,0.991995
W1,ETTm1,cka_heatmap,96,3,per_layer,1,2,S,M,0.993127
W1,ETTm1,cka_heatmap,96,3,per_layer,1,3,S,M,0.980091
W1,ETTm1,cka_heatmap,96,3,per_layer,1,4,S,D,0.960601
W1,ETTm1,cka_heatmap,96,3,per_layer,1,5,S,D,0.946808
W1,ETTm1,cka_heatmap,96,3,per_layer,1,6,S,D,0.878151
W1,ETTm1,cka_heatmap,96,3,per_layer,2,2,M,M,0.995324
W1,ETTm1,cka_heatmap,96,3,per_layer,2,3,M,M,0.987334
W1,ETTm1,cka_heatmap,96,3,per_layer,2,4,M,D,0.96966
W1,ETTm1,cka_heatmap,96,3,per_layer,2,5,M,D,0.955551
W1,ETTm1,cka_heatmap,96,3,per_layer,2,6,M,D,0.885753
W1,ETTm1,cka_heatmap,96,3,per_layer,3,3,M,M,0.993053
W1,ETTm1,cka_heatmap,96,3,per_layer,3,4,M,D,0.981167
W1,ETTm1,cka_heatmap,96,3,per_layer,3,5,M,D,0.96768
W1,ETTm1,cka_heatmap,96,3,per_layer,3,6,M,D,0.900448
W1,ETTm1,cka_heatmap,96,3,per_layer,4,4,D,D,0.985177
W1,ETTm1,cka_heatmap,96,3,per_layer,4,5,D,D,0.971676
W1,ETTm1,cka_heatmap,96,3,per_layer,4,6,D,D,0.913502
W1,ETTm1,cka_heatmap,96,3,per_layer,5,5,D,D,0.95851
W1,ETTm1,cka_heatmap,96,3,per_layer,5,6,D,D,0.90421
W1,ETTm1,cka_heatmap,96,3,per_layer,6,6,D,D,0.812689
