experiment_type,dataset,plot_type,horizon,seed,mode,model_tag,run_tag,tod,stage,gate_mean,sample_count
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,7,D,,0
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,8,D,0.4938291627913713,138
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,9,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,10,D,,0
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,11,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,12,D,0.4938291627913713,70
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,13,D,0.4938291627913713,140
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,14,D,,0
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,15,D,0.4938291627913713,70
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,16,D,0.4938291627913713,70
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,17,D,0.4938291627913713,70
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,18,D,0.4938291627913713,70
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,19,D,0.4938291627913713,139
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,20,D,,0
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,21,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,22,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,23,D,0.4938291627913713,69
