experiment_type,dataset,horizon,seed,model_tag,mode,run_tag,window_index,mse
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,251,10.994465
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,252,11.051687
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,253,10.823345
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,254,11.377293
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,255,10.967326
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,256,10.771849
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,257,10.409358
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,258,10.955773
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,259,10.892393
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,260,10.726366
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,261,10.782675
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,262,11.043566
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,263,10.880371
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,264,10.980406
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,265,10.993462
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,266,10.877903
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,267,10.901197
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,268,11.018393
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,269,11.112875
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,270,10.935771
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,271,11.652755
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,272,11.727278
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,273,11.983372
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,274,10.9462805
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,275,9.9319105
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,276,9.897178
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,277,9.96144
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,278,10.271919
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,279,10.591007
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,280,9.936665
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,281,10.085743
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,282,10.059532
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,283,9.851124
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,284,9.019536
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,285,9.284126
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,286,8.846556
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,287,8.517635
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,288,8.240304
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,289,7.8446083
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,290,7.4097333
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,291,6.6282005
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,292,6.095722
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,293,5.5453525
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,294,5.5174
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,295,5.3612695
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,296,5.019196
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,297,5.152331
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,298,5.136135
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,299,5.532185
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,300,6.0462747
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,301,5.946871
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,302,5.791664
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,303,6.6617913
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,304,7.6738577
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,305,7.4184885
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,306,7.469657
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,307,7.5487823
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,308,8.014687
