experiment_type,dataset,plot_type,horizon,seed,mode,grad_align_s,grad_align_m,grad_align_d,grad_align_mean
W1,weather,grad_align_bar,720,42,per_layer,-0.0082371592398654,0.0008786627423768,-0.0038714231154337,-0.0037616089058969
W1,weather,grad_align_bar,720,42,last_layer,0.004553869681844,0.0009432102427628,0.0043861110325748,0.0034503561352768
W1,weather,grad_align_bar,720,2,per_layer,0.0046711751034414,0.003089094248357,-0.005361423864931,-8.053327017087226e-05
W1,weather,grad_align_bar,720,2,last_layer,-0.0029049194979898,0.004726168513599,0.0097533207465897,0.0047003514672839
W1,weather,grad_align_bar,720,3,per_layer,0.0058236749201707,0.0003733104242719,-0.0008889200158084,0.0013896015202085
W1,weather,grad_align_bar,720,3,last_layer,0.0021055567746721,0.0010699912337617,-0.0037257573550017,-0.0006894537211624
W1,weather,grad_align_bar,720,5,per_layer,0.0001257125487953,-0.0007894226886387,0.0037314459078998,0.0014095596348589
W1,weather,grad_align_bar,720,5,last_layer,0.0006752706418451,0.0004610141128052,0.0264309569478138,0.0116522057646774
W1,weather,grad_align_bar,720,7,per_layer,0.0013554802345451,0.0037357036037484,-0.000684968819627,0.0011610658882436
W1,weather,grad_align_bar,720,7,last_layer,-0.0030436450559762,-0.0053508234383641,-0.0019716210096694,-0.003243400002527
W1,weather,grad_align_bar,720,11,per_layer,0.0002060318794988,0.0059678758156515,-0.0054174400452153,-0.0005577863921921
W1,weather,grad_align_bar,720,11,last_layer,-0.0037926028699073,0.0029459113277998,0.0069855189893218,0.0027518819833929
W1,weather,grad_align_bar,720,13,per_layer,0.0045011744474724,0.0044480210387087,0.0013539595058525,0.0031371813557028
W1,weather,grad_align_bar,720,13,last_layer,-0.0029291530542692,-0.0072241403791556,0.0046150617397261,-0.0009230573782387
W1,weather,grad_align_bar,720,17,per_layer,0.0078762914559942,-0.0061405978904887,0.0021733623996103,0.0014273534756917
W1,weather,grad_align_bar,720,17,last_layer,-0.0015425185570642,0.0015592950897623,0.0123509555891792,0.0052980599761334
W1,weather,grad_align_bar,720,19,per_layer,0.0100544258766704,-0.0100853417681431,-0.0003558558836309,-0.0001613427762625
W1,weather,grad_align_bar,720,19,last_layer,0.0077426431062779,-0.009222234631954,-0.0029184775759007,-0.0016735165398648
W1,weather,grad_align_bar,720,23,per_layer,-0.0014994351028956,0.005022990003078,-0.0047598154861792,-0.0010331909511675
W1,weather,grad_align_bar,720,23,last_layer,0.002279906747380213,-0.004406216906270027,0.001024659574408718,-0.00016837737065049648
