experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,weather,grad_align_bar,336,3,per_layer,5,D,-0.002685
W1,weather,grad_align_bar,336,3,per_layer,6,D,0.002154
W1,weather,grad_align_bar,336,3,last_layer,0,S,-0.002483
W1,weather,grad_align_bar,336,3,last_layer,1,S,0.008255
W1,weather,grad_align_bar,336,3,last_layer,2,M,-0.000683
W1,weather,grad_align_bar,336,3,last_layer,3,M,0.003317
W1,weather,grad_align_bar,336,3,last_layer,4,D,0.01474
W1,weather,grad_align_bar,336,3,last_layer,5,D,0.008673
W1,weather,grad_align_bar,336,3,last_layer,6,D,0.000698
W1,weather,grad_align_bar,336,5,per_layer,0,S,0.011069
W1,weather,grad_align_bar,336,5,per_layer,1,S,0.019798
W1,weather,grad_align_bar,336,5,per_layer,2,M,0.00449
W1,weather,grad_align_bar,336,5,per_layer,3,M,-0.0085
W1,weather,grad_align_bar,336,5,per_layer,4,D,-0.005442
W1,weather,grad_align_bar,336,5,per_layer,5,D,0.0001
W1,weather,grad_align_bar,336,5,per_layer,6,D,0.003994
W1,weather,grad_align_bar,336,5,last_layer,0,S,0.006644
W1,weather,grad_align_bar,336,5,last_layer,1,S,-0.000247
W1,weather,grad_align_bar,336,5,last_layer,2,M,-0.006399
W1,weather,grad_align_bar,336,5,last_layer,3,M,-0.016902
W1,weather,grad_align_bar,336,5,last_layer,4,D,-0.000738
W1,weather,grad_align_bar,336,5,last_layer,5,D,0.023408
W1,weather,grad_align_bar,336,5,last_layer,6,D,-0.020106
W1,weather,grad_align_bar,336,7,per_layer,0,S,-0.018009
W1,weather,grad_align_bar,336,7,per_layer,1,S,0.006111
W1,weather,grad_align_bar,336,7,per_layer,2,M,-0.017302
W1,weather,grad_align_bar,336,7,per_layer,3,M,-0.01015
W1,weather,grad_align_bar,336,7,per_layer,4,D,0.003365
W1,weather,grad_align_bar,336,7,per_layer,5,D,0.004574
W1,weather,grad_align_bar,336,7,per_layer,6,D,0.013803
W1,weather,grad_align_bar,336,7,last_layer,0,S,-0.004261
W1,weather,grad_align_bar,336,7,last_layer,1,S,-0.003676
W1,weather,grad_align_bar,336,7,last_layer,2,M,-0.000722
W1,weather,grad_align_bar,336,7,last_layer,3,M,-0.003596
W1,weather,grad_align_bar,336,7,last_layer,4,D,-0.004796
W1,weather,grad_align_bar,336,7,last_layer,5,D,0.004157
W1,weather,grad_align_bar,336,7,last_layer,6,D,0.006361
W1,weather,grad_align_bar,336,11,per_layer,0,S,0.001248
W1,weather,grad_align_bar,336,11,per_layer,1,S,-0.001365
W1,weather,grad_align_bar,336,11,per_layer,2,M,-0.00222
W1,weather,grad_align_bar,336,11,per_layer,3,M,0.015664
W1,weather,grad_align_bar,336,11,per_layer,4,D,0.002802
W1,weather,grad_align_bar,336,11,per_layer,5,D,-0.009634
W1,weather,grad_align_bar,336,11,per_layer,6,D,-0.003548
W1,weather,grad_align_bar,336,11,last_layer,0,S,-0.006453
W1,weather,grad_align_bar,336,11,last_layer,1,S,0.001693
W1,weather,grad_align_bar,336,11,last_layer,2,M,0.021209
W1,weather,grad_align_bar,336,11,last_layer,3,M,0.019541
W1,weather,grad_align_bar,336,11,last_layer,4,D,0.011658
W1,weather,grad_align_bar,336,11,last_layer,5,D,0.011144
W1,weather,grad_align_bar,336,11,last_layer,6,D,-0.008639
W1,weather,grad_align_bar,336,13,per_layer,0,S,0.000895
W1,weather,grad_align_bar,336,13,per_layer,1,S,0.002555
W1,weather,grad_align_bar,336,13,per_layer,2,M,-0.002233
W1,weather,grad_align_bar,336,13,per_layer,3,M,0.000949
W1,weather,grad_align_bar,336,13,per_layer,4,D,0.006905
W1,weather,grad_align_bar,336,13,per_layer,5,D,-0.000268
