experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,weather,cka_heatmap,96,5,per_layer,4,5,D,D,0.984448
W1,weather,cka_heatmap,96,5,per_layer,4,6,D,D,0.985431
W1,weather,cka_heatmap,96,5,per_layer,5,5,D,D,0.982698
W1,weather,cka_heatmap,96,5,per_layer,5,6,D,D,0.981295
W1,weather,cka_heatmap,96,5,per_layer,6,6,D,D,0.974158
W1,weather,cka_heatmap,96,5,last_layer,0,0,S,S,0.988393
W1,weather,cka_heatmap,96,5,last_layer,0,1,S,S,0.962912
W1,weather,cka_heatmap,96,5,last_layer,0,2,S,M,0.957078
W1,weather,cka_heatmap,96,5,last_layer,0,3,S,M,0.977155
W1,weather,cka_heatmap,96,5,last_layer,0,4,S,D,0.990032
W1,weather,cka_heatmap,96,5,last_layer,0,5,S,D,0.995484
W1,weather,cka_heatmap,96,5,last_layer,0,6,S,D,0.984722
W1,weather,cka_heatmap,96,5,last_layer,1,1,S,S,0.963076
W1,weather,cka_heatmap,96,5,last_layer,1,2,S,M,0.957336
W1,weather,cka_heatmap,96,5,last_layer,1,3,S,M,0.977271
W1,weather,cka_heatmap,96,5,last_layer,1,4,S,D,0.989865
W1,weather,cka_heatmap,96,5,last_layer,1,5,S,D,0.995041
W1,weather,cka_heatmap,96,5,last_layer,1,6,S,D,0.983843
W1,weather,cka_heatmap,96,5,last_layer,2,2,M,M,0.955686
W1,weather,cka_heatmap,96,5,last_layer,2,3,M,M,0.975991
W1,weather,cka_heatmap,96,5,last_layer,2,4,M,D,0.988884
W1,weather,cka_heatmap,96,5,last_layer,2,5,M,D,0.994822
W1,weather,cka_heatmap,96,5,last_layer,2,6,M,D,0.983879
W1,weather,cka_heatmap,96,5,last_layer,3,3,M,M,0.974448
W1,weather,cka_heatmap,96,5,last_layer,3,4,M,D,0.987899
W1,weather,cka_heatmap,96,5,last_layer,3,5,M,D,0.994598
W1,weather,cka_heatmap,96,5,last_layer,3,6,M,D,0.983771
W1,weather,cka_heatmap,96,5,last_layer,4,4,D,D,0.986541
W1,weather,cka_heatmap,96,5,last_layer,4,5,D,D,0.994138
W1,weather,cka_heatmap,96,5,last_layer,4,6,D,D,0.983356
W1,weather,cka_heatmap,96,5,last_layer,5,5,D,D,0.99435
W1,weather,cka_heatmap,96,5,last_layer,5,6,D,D,0.986037
W1,weather,cka_heatmap,96,5,last_layer,6,6,D,D,0.988044
W1,weather,cka_heatmap,96,7,per_layer,0,0,S,S,0.986191
W1,weather,cka_heatmap,96,7,per_layer,0,1,S,S,0.981942
W1,weather,cka_heatmap,96,7,per_layer,0,2,S,M,0.98177
W1,weather,cka_heatmap,96,7,per_layer,0,3,S,M,0.969953
W1,weather,cka_heatmap,96,7,per_layer,0,4,S,D,0.946736
W1,weather,cka_heatmap,96,7,per_layer,0,5,S,D,0.928311
W1,weather,cka_heatmap,96,7,per_layer,0,6,S,D,0.920756
W1,weather,cka_heatmap,96,7,per_layer,1,1,S,S,0.985776
W1,weather,cka_heatmap,96,7,per_layer,1,2,S,M,0.985512
W1,weather,cka_heatmap,96,7,per_layer,1,3,S,M,0.974371
W1,weather,cka_heatmap,96,7,per_layer,1,4,S,D,0.950687
W1,weather,cka_heatmap,96,7,per_layer,1,5,S,D,0.932413
W1,weather,cka_heatmap,96,7,per_layer,1,6,S,D,0.926002
W1,weather,cka_heatmap,96,7,per_layer,2,2,M,M,0.98855
W1,weather,cka_heatmap,96,7,per_layer,2,3,M,M,0.977432
W1,weather,cka_heatmap,96,7,per_layer,2,4,M,D,0.949582
W1,weather,cka_heatmap,96,7,per_layer,2,5,M,D,0.930725
W1,weather,cka_heatmap,96,7,per_layer,2,6,M,D,0.92711
W1,weather,cka_heatmap,96,7,per_layer,3,3,M,M,0.988192
W1,weather,cka_heatmap,96,7,per_layer,3,4,M,D,0.962612
W1,weather,cka_heatmap,96,7,per_layer,3,5,M,D,0.946057
W1,weather,cka_heatmap,96,7,per_layer,3,6,M,D,0.945736
W1,weather,cka_heatmap,96,7,per_layer,4,4,D,D,0.971168
W1,weather,cka_heatmap,96,7,per_layer,4,5,D,D,0.957296
W1,weather,cka_heatmap,96,7,per_layer,4,6,D,D,0.959128
W1,weather,cka_heatmap,96,7,per_layer,5,5,D,D,0.959315
W1,weather,cka_heatmap,96,7,per_layer,5,6,D,D,0.964103
W1,weather,cka_heatmap,96,7,per_layer,6,6,D,D,0.962601
W1,weather,cka_heatmap,96,7,last_layer,0,0,S,S,0.984374
W1,weather,cka_heatmap,96,7,last_layer,0,1,S,S,0.941974
W1,weather,cka_heatmap,96,7,last_layer,0,2,S,M,0.930479
W1,weather,cka_heatmap,96,7,last_layer,0,3,S,M,0.948213
W1,weather,cka_heatmap,96,7,last_layer,0,4,S,D,0.96375
W1,weather,cka_heatmap,96,7,last_layer,0,5,S,D,0.972171
W1,weather,cka_heatmap,96,7,last_layer,0,6,S,D,0.958292
W1,weather,cka_heatmap,96,7,last_layer,1,1,S,S,0.942258
W1,weather,cka_heatmap,96,7,last_layer,1,2,S,M,0.930644
W1,weather,cka_heatmap,96,7,last_layer,1,3,S,M,0.948409
W1,weather,cka_heatmap,96,7,last_layer,1,4,S,D,0.963371
W1,weather,cka_heatmap,96,7,last_layer,1,5,S,D,0.971406
W1,weather,cka_heatmap,96,7,last_layer,1,6,S,D,0.956996
W1,weather,cka_heatmap,96,7,last_layer,2,2,M,M,0.929002
W1,weather,cka_heatmap,96,7,last_layer,2,3,M,M,0.947045
W1,weather,cka_heatmap,96,7,last_layer,2,4,M,D,0.962682
W1,weather,cka_heatmap,96,7,last_layer,2,5,M,D,0.97174
W1,weather,cka_heatmap,96,7,last_layer,2,6,M,D,0.958443
W1,weather,cka_heatmap,96,7,last_layer,3,3,M,M,0.944089
W1,weather,cka_heatmap,96,7,last_layer,3,4,M,D,0.960604
W1,weather,cka_heatmap,96,7,last_layer,3,5,M,D,0.971008
W1,weather,cka_heatmap,96,7,last_layer,3,6,M,D,0.959087
W1,weather,cka_heatmap,96,7,last_layer,4,4,D,D,0.957407
W1,weather,cka_heatmap,96,7,last_layer,4,5,D,D,0.969552
W1,weather,cka_heatmap,96,7,last_layer,4,6,D,D,0.959758
W1,weather,cka_heatmap,96,7,last_layer,5,5,D,D,0.96668
W1,weather,cka_heatmap,96,7,last_layer,5,6,D,D,0.959103
W1,weather,cka_heatmap,96,7,last_layer,6,6,D,D,0.957864
W1,weather,cka_heatmap,96,11,per_layer,0,0,S,S,0.987237
W1,weather,cka_heatmap,96,11,per_layer,0,1,S,S,0.985543
W1,weather,cka_heatmap,96,11,per_layer,0,2,S,M,0.979231
W1,weather,cka_heatmap,96,11,per_layer,0,3,S,M,0.987837
W1,weather,cka_heatmap,96,11,per_layer,0,4,S,D,0.988383
W1,weather,cka_heatmap,96,11,per_layer,0,5,S,D,0.973337
W1,weather,cka_heatmap,96,11,per_layer,0,6,S,D,0.950222
W1,weather,cka_heatmap,96,11,per_layer,1,1,S,S,0.989276
W1,weather,cka_heatmap,96,11,per_layer,1,2,S,M,0.984338
W1,weather,cka_heatmap,96,11,per_layer,1,3,S,M,0.990857
W1,weather,cka_heatmap,96,11,per_layer,1,4,S,D,0.991311
W1,weather,cka_heatmap,96,11,per_layer,1,5,S,D,0.977762
W1,weather,cka_heatmap,96,11,per_layer,1,6,S,D,0.953217
W1,weather,cka_heatmap,96,11,per_layer,2,2,M,M,0.990216
W1,weather,cka_heatmap,96,11,per_layer,2,3,M,M,0.993171
W1,weather,cka_heatmap,96,11,per_layer,2,4,M,D,0.993104
W1,weather,cka_heatmap,96,11,per_layer,2,5,M,D,0.984543
W1,weather,cka_heatmap,96,11,per_layer,2,6,M,D,0.963259
W1,weather,cka_heatmap,96,11,per_layer,3,3,M,M,0.990221
W1,weather,cka_heatmap,96,11,per_layer,3,4,M,D,0.989492
W1,weather,cka_heatmap,96,11,per_layer,3,5,M,D,0.990339
W1,weather,cka_heatmap,96,11,per_layer,3,6,M,D,0.975846
W1,weather,cka_heatmap,96,11,per_layer,4,4,D,D,0.981882
W1,weather,cka_heatmap,96,11,per_layer,4,5,D,D,0.98949
W1,weather,cka_heatmap,96,11,per_layer,4,6,D,D,0.978161
W1,weather,cka_heatmap,96,11,per_layer,5,5,D,D,0.985853
W1,weather,cka_heatmap,96,11,per_layer,5,6,D,D,0.974992
W1,weather,cka_heatmap,96,11,per_layer,6,6,D,D,0.960115
W1,weather,cka_heatmap,96,11,last_layer,0,0,S,S,0.985184
W1,weather,cka_heatmap,96,11,last_layer,0,1,S,S,0.95737
W1,weather,cka_heatmap,96,11,last_layer,0,2,S,M,0.942382
W1,weather,cka_heatmap,96,11,last_layer,0,3,S,M,0.956637
W1,weather,cka_heatmap,96,11,last_layer,0,4,S,D,0.970916
W1,weather,cka_heatmap,96,11,last_layer,0,5,S,D,0.990012
W1,weather,cka_heatmap,96,11,last_layer,0,6,S,D,0.989378
W1,weather,cka_heatmap,96,11,last_layer,1,1,S,S,0.957549
W1,weather,cka_heatmap,96,11,last_layer,1,2,S,M,0.943207
W1,weather,cka_heatmap,96,11,last_layer,1,3,S,M,0.957318
W1,weather,cka_heatmap,96,11,last_layer,1,4,S,D,0.971741
W1,weather,cka_heatmap,96,11,last_layer,1,5,S,D,0.989536
W1,weather,cka_heatmap,96,11,last_layer,1,6,S,D,0.98765
W1,weather,cka_heatmap,96,11,last_layer,2,2,M,M,0.942142
